machine_id,sku_id,current_stock
M01,S1,85
M01,S2,30
M01,S3,51
M01,S4,33
M01,S5,21
M01,S6,26
M01,S7,34
M01,S8,19
M02,S1,78
M02,S2,27
M02,S3,38
M02,S4,11
M02,S5,14
M02,S6,22
M02,S7,35
M02,S8,13
M03,S1,66
M03,S2,52
M03,S3,16
M03,S4,39
M03,S5,8
M03,S6,27
M03,S7,11
M03,S8,28
M04,S1,61
M04,S2,32
M04,S3,22
M04,S4,18
M04,S5,27
M04,S6,19
M04,S7,32
M04,S8,17
M05,S1,78
M05,S2,45
M05,S3,38
M05,S4,28
M05,S5,32
M05,S6,25
M05,S7,20
M05,S8,24
M06,S1,76
M06,S2,30
M06,S3,30
M06,S4,20
M06,S5,19
M06,S6,26
M06,S7,28
M06,S8,8
M07,S1,29
M07,S2,18
M07,S3,67
M07,S4,18
M07,S5,34
M07,S6,15
M07,S7,28
M07,S8,18
M08,S1,87
M08,S2,32
M08,S3,39
M08,S4,59
M08,S5,29
M08,S6,33
M08,S7,44
M08,S8,29
M09,S1,54
M09,S2,34
M09,S3,39
M09,S4,38
M09,S5,24
M09,S6,11
M09,S7,20
M09,S8,13
M10,S1,34
M10,S2,26
M10,S3,23
M10,S4,27
M10,S5,23
M10,S6,11
M10,S7,28
M10,S8,24
